,asset,time,AdrActCnt,HashRate,ReferenceRateUSD,TxCnt
0,btc,2019-08-12T00:00:00.000000000Z,660039,66017787.46290111,11530.195242256,303296
1,btc,2019-08-13T00:00:00.000000000Z,873566,77930771.66673285,11384.6962465809,372239
2,btc,2019-08-14T00:00:00.000000000Z,750768,75448899.95760125,10867.05475827,360140
3,btc,2019-08-15T00:00:00.000000000Z,701215,77930771.66673285,10024.3795917008,347508
4,btc,2019-08-16T00:00:00.000000000Z,706459,72967028.24846964,10310.0858696669,329465
5,btc,2019-08-17T00:00:00.000000000Z,565674,63535915.753769495,10373.3219028054,288730
6,btc,2019-08-18T00:00:00.000000000Z,526730,62789407.41868819,10207.1555616598,272544
7,btc,2019-08-19T00:00:00.000000000Z,711022,82514504.79037575,10331.3099760374,333840
8,btc,2019-08-20T00:00:00.000000000Z,743636,77452265.23268399,10884.6297744009,329880
9,btc,2019-08-21T00:00:00.000000000Z,784357,68846457.984608,10771.3923793688,310110
10,btc,2019-08-22T00:00:00.000000000Z,808723,71377577.76345386,10096.8302238457,321501
11,btc,2019-08-23T00:00:00.000000000Z,791057,77452265.23268399,10119.7145248393,341649
12,btc,2019-08-24T00:00:00.000000000Z,700721,80995832.92306823,10414.1441725891,302706
13,btc,2019-08-25T00:00:00.000000000Z,513916,78464713.14422233,10147.0871548802,288354
14,btc,2019-08-26T00:00:00.000000000Z,759470,69352681.94037716,10100.3567783752,320470
15,btc,2019-08-27T00:00:00.000000000Z,726784,68340234.02883881,10362.6434723553,324695
16,btc,2019-08-28T00:00:00.000000000Z,705437,76439817.32114564,10168.221571654,339895
17,btc,2019-08-29T00:00:00.000000000Z,735396,83526952.7019141,9724.79997808299,346467
18,btc,2019-08-30T00:00:00.000000000Z,734849,80995832.92306823,9482.31173495032,353926
19,btc,2019-08-31T00:00:00.000000000Z,596235,84033176.65768328,9577.67882349503,334787
20,btc,2019-09-01T00:00:00.000000000Z,574358,76105398.3346369,9605.02446142607,286147
21,btc,2019-09-02T00:00:00.000000000Z,728155,79786349.93155265,9762.93655689655,332061
22,btc,2019-09-03T00:00:00.000000000Z,799532,87818532.81056806,10377.3383845704,370996
23,btc,2019-09-04T00:00:00.000000000Z,750620,72825124.76973927,10618.7815058445,324650
24,btc,2019-09-05T00:00:00.000000000Z,744004,88354011.66916907,10577.2410839275,354399
25,btc,2019-09-06T00:00:00.000000000Z,775304,84605659.65896188,10580.1846995909,361399
26,btc,2019-09-07T00:00:00.000000000Z,617013,80321828.79015365,10330.8497312098,313050
27,btc,2019-09-08T00:00:00.000000000Z,567664,94779757.97238144,10494.5069649328,288498
28,btc,2019-09-09T00:00:00.000000000Z,769573,78179913.35574953,10407.2656573933,316630
29,btc,2019-09-10T00:00:00.000000000Z,807975,97457152.26538657,10332.4644424313,338913
30,btc,2019-09-11T00:00:00.000000000Z,783950,98528109.9825886,10085.9519243133,335304
31,btc,2019-09-12T00:00:00.000000000Z,757805,84605659.65896188,10142.1480603741,339021
32,btc,2019-09-13T00:00:00.000000000Z,759154,81990003.47587636,10403.3599707773,304604
33,btc,2019-09-14T00:00:00.000000000Z,652357,91618125.62606,10345.3387469316,305924
34,btc,2019-09-15T00:00:00.000000000Z,554317,86889448.17439239,10363.4528963179,269747
35,btc,2019-09-16T00:00:00.000000000Z,779631,96346803.07772762,10306.1696674459,349425
36,btc,2019-09-17T00:00:00.000000000Z,777701,87480532.85585083,10257.822761543,344330
37,btc,2019-09-18T00:00:00.000000000Z,855706,102848734.57377057,10195.6111811806,360321
38,btc,2019-09-19T00:00:00.000000000Z,733322,87480532.85585083,10161.3188664524,347535
39,btc,2019-09-20T00:00:00.000000000Z,742828,89253786.90022619,10268.3926291642,346533
40,btc,2019-09-21T00:00:00.000000000Z,625288,98120057.12210296,10170.1251161309,327703
41,btc,2019-09-22T00:00:00.000000000Z,606415,98120057.12210296,9986.4061081239,320368
42,btc,2019-09-23T00:00:00.000000000Z,735518,67383653.68626347,10047.0134748685,291156
43,btc,2019-09-24T00:00:00.000000000Z,840208,92800294.9889769,9692.74104792519,354704
44,btc,2019-09-25T00:00:00.000000000Z,783948,92209210.30751845,8613.67124850965,344325
45,btc,2019-09-26T00:00:00.000000000Z,739854,102371761.97619785,8424.15764640561,351788
46,btc,2019-09-27T00:00:00.000000000Z,714047,83726816.31844728,8091.69529924021,307940
47,btc,2019-09-28T00:00:00.000000000Z,619808,100852756.01994783,8186.77963927528,314444
48,btc,2019-09-29T00:00:00.000000000Z,564381,86263992.57052143,8201.97901344243,288605
49,btc,2019-09-30T00:00:00.000000000Z,750859,82458228.1924102,8064.50806236119,310433
50,btc,2019-10-01T00:00:00.000000000Z,750562,90704051.0116512,8282.3654541204,331458
51,btc,2019-10-02T00:00:00.000000000Z,717573,93875521.32674389,8314.55139012273,329482
52,btc,2019-10-03T00:00:00.000000000Z,708956,93241227.26372536,8362.53073232028,327406
53,btc,2019-10-04T00:00:00.000000000Z,712900,93241227.26372536,8254.33991028638,336945
54,btc,2019-10-05T00:00:00.000000000Z,636638,100218461.9569293,8165.68615125658,327164
55,btc,2019-10-06T00:00:00.000000000Z,555377,94509815.38976245,8141.63371379311,271853
56,btc,2019-10-07T00:00:00.000000000Z,734959,98315579.76787366,7854.60981297487,329430
57,btc,2019-10-08T00:00:00.000000000Z,715311,102755638.20900345,8226.02342928112,332738
58,btc,2019-10-09T00:00:00.000000000Z,701690,87532580.6965585,8190.1151207481,313118
59,btc,2019-10-10T00:00:00.000000000Z,743456,103742972.6980896,8598.3319207481,349406
60,btc,2019-10-11T00:00:00.000000000Z,726820,100875176.08460964,8578.09037931034,346995
61,btc,2019-10-12T00:00:00.000000000Z,578474,86002553.969571,8289.85402893045,294174
62,btc,2019-10-13T00:00:00.000000000Z,555407,91822275.66676003,8323.7501440678,286586
63,btc,2019-10-14T00:00:00.000000000Z,694167,87295825.4578352,8291.25065143191,304204
64,btc,2019-10-15T00:00:00.000000000Z,712296,98935268.85221331,8346.36843658679,343443
65,btc,2019-10-16T00:00:00.000000000Z,733220,92468911.41089214,8160.71262752776,333799
66,btc,2019-10-17T00:00:00.000000000Z,730671,96995361.61981696,8003.85592314436,335681
67,btc,2019-10-18T00:00:00.000000000Z,673650,103461719.06113812,8072.48938229106,336621
68,btc,2019-10-19T00:00:00.000000000Z,643714,91822275.66676003,7959.33199357101,309836
69,btc,2019-10-20T00:00:00.000000000Z,546144,94408818.6432885,7948.47733722969,281555
70,btc,2019-10-21T00:00:00.000000000Z,749935,102815083.317006,8213.70903927528,356016
71,btc,2019-10-22T00:00:00.000000000Z,732596,109281440.75832719,8211.65455873758,343436
72,btc,2019-10-23T00:00:00.000000000Z,736263,109314233.41859664,8029.20537288136,342228
73,btc,2019-10-24T00:00:00.000000000Z,719988,90520752.85884188,7458.03585680889,308626
74,btc,2019-10-25T00:00:00.000000000Z,786680,93923788.68060285,7454.37113816482,329616
75,btc,2019-10-26T00:00:00.000000000Z,761194,95285003.00930724,8656.65517755699,303527
76,btc,2019-10-27T00:00:00.000000000Z,598714,78269823.90050235,9249.64676095851,259835
77,btc,2019-10-28T00:00:00.000000000Z,753434,91201360.02319407,9558.15604400935,305938
78,btc,2019-10-29T00:00:00.000000000Z,728736,90520752.85884188,9319.17814167154,309538
79,btc,2019-10-30T00:00:00.000000000Z,711325,91201360.02319407,9431.20712390415,308902
80,btc,2019-10-31T00:00:00.000000000Z,721957,89840145.69448967,9182.85506516657,300632
