,asset,time,AdrActCnt,HashRate,ReferenceRateUSD,TxCnt
0,eth,2019-06-22T00:00:00.000000000Z,379012,149.130383228466,294.852892752776,758133
1,eth,2019-06-23T00:00:00.000000000Z,339193,150.273551506771,308.009769725307,773499
2,eth,2019-06-24T00:00:00.000000000Z,363545,154.589745859032,306.55350742256,809637
3,eth,2019-06-25T00:00:00.000000000Z,350197,155.520275310546,309.798750263004,932194
4,eth,2019-06-26T00:00:00.000000000Z,388619,162.116659931632,316.171920046756,848601
5,eth,2019-06-27T00:00:00.000000000Z,357014,160.236239786281,334.035053477499,814118
6,eth,2019-06-28T00:00:00.000000000Z,325663,157.521350235405,293.215036236119,1004170
7,eth,2019-06-29T00:00:00.000000000Z,310251,163.092462248708,309.446182933957,733337
8,eth,2019-06-30T00:00:00.000000000Z,275123,162.672572488896,318.529788135593,685958
9,eth,2019-07-01T00:00:00.000000000Z,309889,161.21406525152,291.660696317943,951985
10,eth,2019-07-02T00:00:00.000000000Z,382288,162.861678509714,293.862392752776,895054
11,eth,2019-07-03T00:00:00.000000000Z,370570,158.270321139686,290.571834307423,753227
12,eth,2019-07-04T00:00:00.000000000Z,360399,157.161883964355,302.057210403273,747514
13,eth,2019-07-05T00:00:00.000000000Z,319406,157.772852334922,283.489202805377,849080
14,eth,2019-07-06T00:00:00.000000000Z,318241,162.142175615644,287.858582992402,754040
15,eth,2019-07-07T00:00:00.000000000Z,309297,161.327529962605,287.274129982466,582067
16,eth,2019-07-08T00:00:00.000000000Z,335258,158.650774594595,306.198590590298,809796
17,eth,2019-07-09T00:00:00.000000000Z,351558,163.114360617135,313.326290473407,771955
18,eth,2019-07-10T00:00:00.000000000Z,347412,162.83479044415483,308.343054061952,736096
19,eth,2019-07-11T00:00:00.000000000Z,313587,166.6358668388077,288.731157802455,975288
20,eth,2019-07-12T00:00:00.000000000Z,343689,166.4999562137437,267.536604617183,726392
21,eth,2019-07-13T00:00:00.000000000Z,287614,166.77088577175707,275.872600233781,587283
22,eth,2019-07-14T00:00:00.000000000Z,297781,170.69340699100943,268.688629339568,613490
23,eth,2019-07-15T00:00:00.000000000Z,360602,167.44632002814143,230.335976329632,743294
24,eth,2019-07-16T00:00:00.000000000Z,268611,160.86743376659263,230.578357977791,1003278
25,eth,2019-07-17T00:00:00.000000000Z,312639,165.87332595996602,199.001611046172,830029
26,eth,2019-07-18T00:00:00.000000000Z,308987,168.2793380989905,210.931314728229,667874
27,eth,2019-07-19T00:00:00.000000000Z,296342,162.10610073970332,227.241794272355,815548
28,eth,2019-07-20T00:00:00.000000000Z,293720,167.1237312025177,221.03139333723,584085
29,eth,2019-07-21T00:00:00.000000000Z,284257,163.07321543983304,230.67205371128,522416
30,eth,2019-07-22T00:00:00.000000000Z,332359,162.25887059805845,225.672067124489,640666
31,eth,2019-07-23T00:00:00.000000000Z,295644,164.76405546768365,217.013625365284,606795
32,eth,2019-07-24T00:00:00.000000000Z,268921,164.83234776510352,212.361456750438,907213
33,eth,2019-07-25T00:00:00.000000000Z,271079,162.5276633839506,216.848442548217,949864
34,eth,2019-07-26T00:00:00.000000000Z,314692,162.84476354226229,219.638668264173,640260
35,eth,2019-07-27T00:00:00.000000000Z,279933,168.26202766560644,219.365355873758,577697
36,eth,2019-07-28T00:00:00.000000000Z,292897,166.49369533647112,206.645765049679,572697
37,eth,2019-07-29T00:00:00.000000000Z,304681,164.53560659047133,210.927540561075,676990
38,eth,2019-07-30T00:00:00.000000000Z,331809,169.03935272074088,210.840748977206,715782
39,eth,2019-07-31T00:00:00.000000000Z,294035,164.17925543598005,210.029560841613,684284
40,eth,2019-08-01T00:00:00.000000000Z,269308,160.56604481263196,218.08824050263,877643
41,eth,2019-08-02T00:00:00.000000000Z,299037,164.80715695995073,217.353194915254,768312
42,eth,2019-08-03T00:00:00.000000000Z,259678,167.13433988266948,217.667191992987,783492
43,eth,2019-08-04T00:00:00.000000000Z,301295,169.60831576432466,221.83531648159,569134
44,eth,2019-08-05T00:00:00.000000000Z,335179,171.36441610548752,222.788521917008,718438
45,eth,2019-08-06T00:00:00.000000000Z,346542,171.72962191739475,232.299908825248,732052
46,eth,2019-08-07T00:00:00.000000000Z,310904,172.8627543850209,225.729268264173,742477
47,eth,2019-08-08T00:00:00.000000000Z,306119,171.02529827826734,226.042916773817,692736
48,eth,2019-08-09T00:00:00.000000000Z,326034,170.13819418622748,220.550041320865,721762
49,eth,2019-08-10T00:00:00.000000000Z,315155,174.54863637703073,209.817827878434,630929
50,eth,2019-08-11T00:00:00.000000000Z,293410,170.91582000397162,206.324379310345,582507
51,eth,2019-08-12T00:00:00.000000000Z,349597,173.31842911483193,215.789734658095,712949
52,eth,2019-08-13T00:00:00.000000000Z,322202,172.7624798531813,210.972497662186,698671
53,eth,2019-08-14T00:00:00.000000000Z,321012,171.06334145662103,208.597628345996,736647
54,eth,2019-08-15T00:00:00.000000000Z,304059,172.04874551214462,186.381814143776,689076
55,eth,2019-08-16T00:00:00.000000000Z,325186,170.63589487026016,188.016636469901,718875
56,eth,2019-08-17T00:00:00.000000000Z,290153,175.76440003227327,185.577936879018,641106
57,eth,2019-08-18T00:00:00.000000000Z,283406,168.95578913597734,185.547666510812,627260
58,eth,2019-08-19T00:00:00.000000000Z,295257,168.312053254052,194.706162068966,724461
59,eth,2019-08-20T00:00:00.000000000Z,304960,167.1192147977165,202.767035067212,733520
60,eth,2019-08-21T00:00:00.000000000Z,316421,166.42852694597187,196.717822033898,731500
61,eth,2019-08-22T00:00:00.000000000Z,305383,161.5114953190012,186.497284628872,737144
62,eth,2019-08-23T00:00:00.000000000Z,312715,165.63467415432228,191.596093220339,733282
63,eth,2019-08-24T00:00:00.000000000Z,297544,162.96434225246546,194.624304792519,684235
64,eth,2019-08-25T00:00:00.000000000Z,295058,164.71479451546784,191.114351256575,677260
65,eth,2019-08-26T00:00:00.000000000Z,309070,165.53189553084428,186.324488895383,750845
66,eth,2019-08-27T00:00:00.000000000Z,308164,159.98204822554385,188.569805376973,748158
67,eth,2019-08-28T00:00:00.000000000Z,303065,161.83040890498359,186.883293103448,722262
68,eth,2019-08-29T00:00:00.000000000Z,308537,167.63377241667342,173.17579748685,724189
69,eth,2019-08-30T00:00:00.000000000Z,288572,168.19039423746,168.735882349503,713194
70,eth,2019-08-31T00:00:00.000000000Z,282011,166.55237463422387,168.372436002338,679773
71,eth,2019-09-01T00:00:00.000000000Z,275912,165.0965384406521,172.177609877265,690235
72,eth,2019-09-02T00:00:00.000000000Z,319698,167.03306137652953,171.211480479252,757539
73,eth,2019-09-03T00:00:00.000000000Z,303296,168.47228304959316,178.580194623027,751224
74,eth,2019-09-04T00:00:00.000000000Z,296005,164.78246885379,179.233673874927,714432
75,eth,2019-09-05T00:00:00.000000000Z,326386,166.96480094651463,174.729775277615,769872
76,eth,2019-09-06T00:00:00.000000000Z,320381,160.82204436082154,174.54153974284,768500
77,eth,2019-09-07T00:00:00.000000000Z,284448,169.47477581575333,169.23070338983,677445
78,eth,2019-09-08T00:00:00.000000000Z,279927,169.28079116279025,178.287494389246,675137
79,eth,2019-09-09T00:00:00.000000000Z,316921,167.07217687464907,181.604640268849,756508
80,eth,2019-09-10T00:00:00.000000000Z,296904,167.16750521382087,181.388241671537,691617
81,eth,2019-09-11T00:00:00.000000000Z,295327,168.5447100864966,179.595805669199,705292
82,eth,2019-09-12T00:00:00.000000000Z,301354,173.43217277770944,178.058855639977,723726
83,eth,2019-09-13T00:00:00.000000000Z,270785,169.52208273232043,180.84650818235,623470
84,eth,2019-09-14T00:00:00.000000000Z,271533,172.93558054935787,181.51325949737,628467
85,eth,2019-09-15T00:00:00.000000000Z,277976,171.33279122954124,188.595950496786,633961
86,eth,2019-09-16T00:00:00.000000000Z,307380,176.31644199637975,189.443608416131,733010
87,eth,2019-09-17T00:00:00.000000000Z,297547,180.2632847186094,197.430535651666,681814
88,eth,2019-09-18T00:00:00.000000000Z,305563,183.64866626124427,209.287582700175,708743
89,eth,2019-09-19T00:00:00.000000000Z,295149,177.6732129149794,210.7212235827,692484
90,eth,2019-09-20T00:00:00.000000000Z,309840,181.18155164104277,221.562201052016,717128
91,eth,2019-09-21T00:00:00.000000000Z,242789,185.52807729890293,217.195570134424,596973
92,eth,2019-09-22T00:00:00.000000000Z,239625,181.3082720504473,215.50002980713,576563
93,eth,2019-09-23T00:00:00.000000000Z,251471,186.00315748531054,211.051801870251,639394
94,eth,2019-09-24T00:00:00.000000000Z,296761,178.41514511006642,201.226725014611,709522
95,eth,2019-09-25T00:00:00.000000000Z,278971,182.67844528584837,168.43832817066,677675
96,eth,2019-09-26T00:00:00.000000000Z,265068,185.58269755430385,169.84662478083,657676
97,eth,2019-09-27T00:00:00.000000000Z,268165,182.15096344351997,166.334617884278,623632
98,eth,2019-09-28T00:00:00.000000000Z,248610,184.52128304323512,174.083654120397,607857
99,eth,2019-09-29T00:00:00.000000000Z,231663,182.12904268202414,173.798880362361,591986
100,eth,2019-09-30T00:00:00.000000000Z,285523,181.9040634807857,169.853334891876,683924
101,eth,2019-10-01T00:00:00.000000000Z,339783,182.189877855627,179.508727936879,645073
102,eth,2019-10-02T00:00:00.000000000Z,327680,176.9464573054447,176.635159555815,627137
103,eth,2019-10-03T00:00:00.000000000Z,288751,175.8438865810398,180.731424605494,615189
104,eth,2019-10-04T00:00:00.000000000Z,268748,177.84794312297475,175.467113267095,590197
105,eth,2019-10-05T00:00:00.000000000Z,272795,177.99855571587625,176.204069316189,595118
106,eth,2019-10-06T00:00:00.000000000Z,343035,178.69625037226953,176.184813267095,571769
107,eth,2019-10-07T00:00:00.000000000Z,284288,176.75573252345484,169.854954237288,629382
108,eth,2019-10-08T00:00:00.000000000Z,306302,175.63644354274152,181.001570426651,710373
109,eth,2019-10-09T00:00:00.000000000Z,318125,174.491670754097,180.668669783752,751354
110,eth,2019-10-10T00:00:00.000000000Z,326182,177.63540380921293,194.229131502046,706127
111,eth,2019-10-11T00:00:00.000000000Z,315705,182.0325848479233,191.574099707773,702673
112,eth,2019-10-12T00:00:00.000000000Z,279716,176.4240547810929,180.902172472238,634450
113,eth,2019-10-13T00:00:00.000000000Z,250851,181.5851280000852,180.319804997078,566845
114,eth,2019-10-14T00:00:00.000000000Z,300285,178.27747817309353,181.47459760374,650601
115,eth,2019-10-15T00:00:00.000000000Z,302212,187.31907570381,186.520615137347,690703
116,eth,2019-10-16T00:00:00.000000000Z,291507,182.80137378686632,180.282949853887,694589
117,eth,2019-10-17T00:00:00.000000000Z,285894,181.3079908454094,174.995676329632,703704
118,eth,2019-10-18T00:00:00.000000000Z,310446,176.34098041489347,177.070229865576,733646
119,eth,2019-10-19T00:00:00.000000000Z,276993,182.6990936248828,173.130578725891,665170
120,eth,2019-10-20T00:00:00.000000000Z,248121,182.87696176647415,171.613132729398,612341
121,eth,2019-10-21T00:00:00.000000000Z,271474,176.1821350983764,175.187846580947,678528
122,eth,2019-10-22T00:00:00.000000000Z,274766,177.53867942729462,174.198366861485,726230
123,eth,2019-10-23T00:00:00.000000000Z,275838,183.4755460702256,171.261682057276,736388
124,eth,2019-10-24T00:00:00.000000000Z,272369,178.22876481069636,161.323558386908,724917
